frame,gtoid,oid_1,oid_2,x,y,z,dt1,dt2,dt3,gtx,gty,gtz,ee
81505.0,1,1.0,1.0,1.5112534,4.347479,1.699994,0.13166027982373407,0.11397885275852104,-1,1.5112535369999998,4.347479353,1.6999942579999996,5.942434942584064e-07
81505.0,2,2.0,2.0,-0.12693514,4.089143,1.6755102,0.0019381201587407304,0.0017634472130794165,-1,-0.12693527009999997,4.08914309,1.6755102199999998,3.2290349546622153e-07
81505.0,0,0.0,0.0,-0.2889855,4.0260777,1.6896449,0.006574892610672123,0.006115561113915646,-1,-0.2889857618,4.026078658,1.689645428,1.071452191016526e-06
81506.0,1,1.0,1.0,1.5112972,4.3474436,1.7000172,0.13221916985924054,0.114472321635958,-1,1.511297286,4.347443448,1.7000170410000002,2.2597128755076064e-07
81506.0,2,2.0,2.0,-0.1269637,4.089132,1.6755091,0.001917136792542351,0.0017448199469072279,-1,-0.126963812,4.089132074,1.6755092500000002,3.065235852516137e-07
81506.0,0,0.0,0.0,-0.28894025,4.0261464,1.6896459,0.006427596765888666,0.0059821782324434025,-1,-0.28894028080000006,4.02614584,1.6896456690000001,6.125620968170583e-07
81507.0,0,0.0,0.0,-0.28888366,4.0261626,1.6895803,0.006662166725106999,0.006197375665067284,-1,-0.28888383349999996,4.026163715,1.6895809899999998,1.2915316651834544e-06
81507.0,1,1.0,1.0,1.5113403,4.3474107,1.6999727,0.13160004009961312,0.11394810244826203,-1,1.511340478,4.347410838000001,1.6999726469999998,2.880669460725238e-07
81507.0,2,2.0,2.0,-0.12694192,4.089152,1.6754804,0.0016821659087895569,0.001543794046824587,-1,-0.12694202300000001,4.089151701,1.6754800289999998,3.862699653149835e-07
81508.0,2,2.0,2.0,-0.12689167,4.0891385,1.6754906,0.001704853614626245,0.0015483110627769747,-1,-0.1268916909,4.089139105,1.6754908609999999,6.450585194519737e-07
81508.0,1,1.0,1.0,1.5107818,4.3475585,1.6994724,0.12241676477174224,0.10597983972132852,-1,1.510781626,4.347558894,1.699472569,4.425938516622252e-07
81508.0,0,0.0,0.0,-0.28895605,4.026323,1.6896615,0.0059827361781685795,0.005565860781189258,-1,-0.28895594930000007,4.026322904,1.689661554,1.260034492376874e-07
81509.0,0,0.0,0.0,-0.2888774,4.0263186,1.6895758,0.006355350992464537,0.005910267293813831,-1,-0.2888773928000001,4.026318431,1.689575817,1.2194006800688892e-07
81509.0,1,1.0,1.0,1.5108604,4.347568,1.6994512,0.12204479923764211,0.10565700184275784,-1,1.510860498,4.347569137000001,1.6994515719999999,1.1617021164316443e-06
81509.0,2,2.0,2.0,-0.12686625,4.089146,1.6754816,0.0016589787373959552,0.0014899904034564315,-1,-0.1268664702,4.089146574,1.675481911,6.02848980552083e-07
81510.0,1,1.0,1.0,1.5109202,4.347515,1.6993903,0.1212886444736796,0.10500236429481902,-1,1.510920043,4.347514926,1.699390212,2.3295429576681013e-07
81510.0,2,2.0,2.0,-0.12694006,4.089159,1.6754284,0.0012090609375832173,0.001094827712336155,-1,-0.1269400957,4.089158374,1.67542786,8.305400069393695e-07
81510.0,0,0.0,0.0,-0.28879485,4.0262914,1.6894481,0.0069454440864547,0.006458549173771644,-1,-0.28879513050000005,4.026292214,1.6894487579999997,1.0965039396313133e-06
81511.0,1,1.0,1.0,1.511219,4.347414,1.6993178,0.12063055727878691,0.10442787246034868,-1,1.511218996,4.347414627,1.699317911,6.18771604548427e-07
81511.0,0,0.0,0.0,-0.2888311,4.026075,1.6893929,0.0076794459850475505,0.007150001298384723,-1,-0.28883132510000004,4.026075781000001,1.689393608,1.1454787266497677e-06
