frame,gtoid,oid_1,oid_2,x,y,z,dt1,dt2,dt3,gtx,gty,gtz,ee,kcounter
2514.0,2,2.0,2.0,-0.8018329,4.4347005,1.7031684,0.0003000914757649298,0.0002841866599965215,-1,-0.801832994138432,4.43470072322465,1.70316829637725,2.6530120783636834e-07,-1.0
2515.0,2,2.0,2.0,-0.8019278,4.4347334,1.7032083,0.00031679268965945084,0.000300506019527802,-1,-0.801928151477498,4.43473459567998,1.7032090919055702,1.4684793039542082e-06,-1.0
2516.0,2,2.0,2.0,-0.801948,4.4347153,1.7032366,0.00031382666873014387,0.0002886603787715103,-1,-0.8019480239604061,4.4347153728279,1.7032366205148801,1.104069900241958e-07,-1.0
2517.0,2,2.0,2.0,-0.8020215,4.434718,1.7032465,0.0002845742552608499,0.00027505878188094357,-1,-0.80202187808771,4.43471843702968,1.7032468099525595,5.88278393150174e-07,-1.0
2518.0,2,2.0,2.0,-0.8020663,4.434827,1.7032717,0.0002901156191796872,0.00027081590252464594,-1,-0.802066577159256,4.434827561478171,1.7032717608322698,7.53754271598934e-07,-1.0
2519.0,2,2.0,2.0,-0.8020502,4.434728,1.7032284,0.00030508135512263834,0.0002753372735355697,-1,-0.802050541666839,4.43472922127085,1.70322866419885,1.178438763631292e-06,-1.0
2520.0,2,2.0,2.0,-0.8020459,4.4346633,1.7032397,0.00030669452218035076,0.0002876530932667265,-1,-0.802045805557596,4.43466227478386,1.70323896086376,1.250748391684241e-06,-1.0
2521.0,2,2.0,2.0,-0.80197877,4.4345655,1.7031726,0.00031173126404837603,0.0002910509795128746,-1,-0.801979034982718,4.43456578406151,1.70317265653828,3.7134394682092666e-07,-1.0
2522.0,2,2.0,2.0,-0.8020282,4.434539,1.7032188,0.00029552251538689234,0.00029539239113773874,-1,-0.8020283806618049,4.43453955671031,1.7032191781064003,8.260577176781758e-07,-1.0
2523.0,2,2.0,2.0,-0.802093,4.4345593,1.7032506,0.0003109638350906607,0.00028766374219912905,-1,-0.8020932674056069,4.434560467594821,1.70325109474551,1.2318024386035734e-06,-1.0
2524.0,2,2.0,2.0,-0.80203694,4.434474,1.7032756,0.000312590919691047,0.00029067414112660117,-1,-0.802037239573727,4.43447489247176,1.7032760058863599,1.0481815381257204e-06,-1.0
2525.0,2,2.0,2.0,-0.8021996,4.4346337,1.7033484,0.00030770816238145926,0.00029206011345195293,-1,-0.802199676355493,4.43463364514177,1.7033481262738701,2.949157544131561e-07,-1.0
2526.0,2,2.0,2.0,-0.8020905,4.4344354,1.7033287,0.00030845217310115913,0.0002797826433038608,-1,-0.802090841053495,4.43443592817425,1.70332886245694,6.570025435037218e-07,-1.0
2527.0,2,2.0,2.0,-0.8021132,4.434447,1.7032833,0.00029567255273832416,0.00027947227840741107,-1,-0.802113501699238,4.4344476456434005,1.7032838947641902,1.069579963219601e-06,-1.0
2528.0,2,2.0,2.0,-0.8021169,4.4344344,1.7032133,0.000304179133308935,0.0002765755535278913,-1,-0.802117188816132,4.43443476378272,1.7032134662555403,4.908805539745185e-07,-1.0
2529.0,2,2.0,2.0,-0.80181974,4.4337935,1.7029381,0.00028944986939904993,0.00026853233811152677,-1,-0.801819723405345,4.43379335583207,1.70293769178171,4.3199245721273133e-07,-1.0
2530.0,2,2.0,2.0,-0.80199474,4.434129,1.7027127,0.0003093666269364803,0.0002918332529588952,-1,-0.8019949042648219,4.434129822400471,1.7027128407222398,6.344357655285908e-07,-1.0
