frame,oid,cid,x,y
41,2,1,0.015,0.0087
42,2,1,0.015,0.0087
43,2,1,0.015,0.0087
44,2,1,0.015,0.0087
45,2,1,0.015,0.0087
46,2,1,0.015,0.0087
47,2,1,0.015,0.0087
48,2,1,0.015,0.0087
49,2,1,0.0151,0.0087
50,2,1,0.0151,0.0087
51,2,1,0.0151,0.0087
52,2,1,0.0151,0.0087
53,2,1,0.0151,0.0087
54,2,1,0.0151,0.0087
55,2,1,0.0151,0.0086
56,2,1,0.0151,0.0086
57,2,1,0.0151,0.0086
58,2,1,0.0151,0.0086
59,2,1,0.0151,0.0086
60,2,1,0.0151,0.0086
61,2,1,0.0151,0.0086
62,2,1,0.0151,0.0086
63,2,1,0.0151,0.0086
64,2,1,0.0151,0.0086
65,2,1,0.0151,0.0086
66,2,1,0.0151,0.0086
67,2,1,0.0152,0.0086
68,2,1,0.0152,0.0086
69,2,1,0.0152,0.0086
70,2,1,0.0152,0.0086
71,2,1,0.0152,0.0086
72,2,1,0.0152,0.0086
73,2,1,0.0152,0.0086
74,2,1,0.0152,0.0086
75,2,1,0.0152,0.0086
76,2,1,0.0152,0.0086
77,2,1,0.0152,0.0086
78,2,1,0.0152,0.0086
79,2,1,0.0152,0.0086
80,2,1,0.0152,0.0086
81,2,1,0.0152,0.0086
82,2,1,0.0152,0.0086
83,2,1,0.0152,0.0086
84,2,1,0.0153,0.0086
85,2,1,0.0153,0.0086
86,2,1,0.0153,0.0086
87,2,1,0.0153,0.0087
88,2,1,0.0153,0.0087
89,2,1,0.0153,0.0087
90,2,1,0.0153,0.0087
91,2,1,0.0153,0.0087
92,2,1,0.0153,0.0087
93,2,1,0.0153,0.0087
94,2,1,0.0153,0.0087
95,2,1,0.0153,0.0087
96,2,1,0.0153,0.0087
97,2,1,0.0153,0.0087
98,2,1,0.0153,0.0087
99,2,1,0.0153,0.0087
100,2,1,0.0153,0.0087
101,2,1,0.0153,0.0087
102,2,1,0.0154,0.0087
103,2,1,0.0154,0.0087
104,2,1,0.0154,0.0087
105,2,1,0.0154,0.0087
106,2,1,0.0154,0.0087
107,2,1,0.0154,0.0086
108,2,1,0.0154,0.0086
109,2,1,0.0154,0.0086
110,2,1,0.0154,0.0086
111,2,1,0.0154,0.0086
112,2,1,0.0154,0.0086
113,2,1,0.0154,0.0086
114,2,1,0.0154,0.0086
115,2,1,0.0154,0.0086
116,2,1,0.0154,0.0086
117,2,1,0.0154,0.0086
118,2,1,0.0154,0.0086
119,2,1,0.0154,0.0086
120,2,1,0.0155,0.0086
121,2,1,0.0155,0.0086
122,2,1,0.0155,0.0086
123,2,1,0.0155,0.0086
124,2,1,0.0155,0.0086
125,2,1,0.0155,0.0086
126,2,1,0.0155,0.0086
127,2,1,0.0155,0.0086
128,2,1,0.0155,0.0086
129,2,1,0.0155,0.0086
130,2,1,0.0155,0.0086
131,2,1,0.0155,0.0086
132,2,1,0.0155,0.0086
133,2,1,0.0155,0.0086
134,2,1,0.0155,0.0086
135,2,1,0.0155,0.0086
136,2,1,0.0155,0.0086
137,2,1,0.0155,0.0086
138,2,1,0.0156,0.0086
139,2,1,0.0156,0.0087
140,2,1,0.0156,0.0087
141,2,1,0.0156,0.0087
142,2,1,0.0156,0.0087
143,2,1,0.0156,0.0087
144,2,1,0.0156,0.0087
145,2,1,0.0156,0.0087
146,2,1,0.0156,0.0087
147,2,1,0.0156,0.0087
148,2,1,0.0156,0.0087
149,2,1,0.0156,0.0087
150,2,1,0.0156,0.0087
151,2,1,0.0156,0.0087
152,2,1,0.0156,0.0087
153,2,1,0.0156,0.0087
154,2,1,0.0156,0.0087
155,2,1,0.0156,0.0087
156,2,1,0.0157,0.0087
157,2,1,0.0157,0.0087
158,2,1,0.0157,0.0087
159,2,1,0.0157,0.0086
160,2,1,0.0157,0.0086
161,2,1,0.0157,0.0086
162,2,1,0.0157,0.0086
163,2,1,0.0157,0.0086
164,2,1,0.0157,0.0086
165,2,1,0.0157,0.0086
166,2,1,0.0157,0.0086
167,2,1,0.0157,0.0086
168,2,1,0.0157,0.0086
169,2,1,0.0157,0.0086
170,2,1,0.0157,0.0086
171,2,1,0.0157,0.0086
172,2,1,0.0157,0.0086
173,2,1,0.0157,0.0086
174,2,1,0.0158,0.0086
175,2,1,0.0158,0.0086
176,2,1,0.0158,0.0086
177,2,1,0.0158,0.0086
178,2,1,0.0158,0.0086
179,2,1,0.0158,0.0086
180,2,1,0.0158,0.0086
181,2,1,0.0158,0.0086
182,2,1,0.0158,0.0086
183,2,1,0.0158,0.0086
184,2,1,0.0158,0.0086
185,2,1,0.0158,0.0086
186,2,1,0.0158,0.0086
187,2,1,0.0158,0.0086
188,2,1,0.0158,0.0086
189,2,1,0.0158,0.0086
